醫事機構代碼,診療科別
0143010011,14
0143010011,15
0143010011,16
0143010011,22
0143010011,40
0143010011,60
0143010011,81
0143010011,85
0143010011,86
0143010011,87
0143040019,01
0143040019,02
0143040019,03
0143040019,04
0143040019,06
0143040019,08
0143040019,13
0143040019,14
0143040019,22
0143040019,40
0143040019,60
0143040019,81
0143040019,86
0144010015,01
0144010015,02
0144010015,03
0144010015,04
0144010015,06
0144010015,08
0144010015,13
0144010015,14
0144010015,22
0144010015,86
0145010019,01
0145010019,02
0145010019,03
0145010019,04
0145010019,05
0145010019,06
0145010019,08
0145010019,09
0145010019,10
0145010019,11
0145010019,12
0145010019,13
0145010019,14
0145010019,40
0145010019,60
0145010019,81
0145010019,82
0145010019,83
0145030020,01
0145030020,02
0145030020,09
0145030020,12
0145030020,13
0145030020,40
0145080011,00
0145080011,01
0145080011,40
0146010013,01
0146010013,02
0146010013,03
0146010013,04
0146010013,05
0146010013,06
0146010013,08
0146010013,10
0146010013,11
0146010013,13
0146010013,14
0146010013,22
0146010013,40
0146010013,60
0146010013,81
0146010013,86
0146020537,01
0146020537,02
0146020537,14
0146020537,40
0190030516,01
0190030516,02
0190030516,03
0190030516,04
0190030516,05
0190030516,06
0190030516,07
0190030516,08
0190030516,09
0190030516,10
0190030516,11
0190030516,12
0190030516,13
0190030516,14
0190030516,22
0190030516,40
0190030516,81
0190030516,86
0211070012,01
0211070012,02
0211070012,03
0211070012,04
0211070012,06
0211070012,10
0211070012,14
0211070012,40
0291010010,00
0291010010,01
0291010010,02
0291010010,03
0291010010,04
0291010010,05
0291010010,08
0291010010,10
0291010010,13
0291010010,22
0291010010,40
0401020013,02
0401020013,03
0401020013,05
0401020013,06
0401020013,08
0401020013,09
0401020013,10
0401020013,11
0401020013,12
0401020013,13
0401020013,14
0401020013,22
0401020013,47
0401020013,50
0401020013,81
0401020013,84
0401020013,85
0401020013,86
0401020013,87
0401020013,88
0401180014,00
0401180014,01
0401180014,02
0401180014,03
0401180014,04
0401180014,05
0401180014,06
0401180014,07
0401180014,08
0401180014,09
0401180014,10
0401180014,11
0401180014,12
0401180014,13
0401180014,14
0401180014,15
0401180014,16
0401180014,22
0401180014,40
0401180014,41
0401180014,42
0401180014,43
0401180014,44
0401180014,45
0401180014,47
0401180014,49
0401180014,50
0401180014,51
0401180014,81
0401180014,84
0401180014,85
0401180014,86
0401180014,87
0401180014,88
0401180023,03
0401180023,04
0401180023,13
0401180023,14
0401180023,40
0401180023,46
0401180023,81
0401180023,86
0401190010,01
0401190010,02
0401190010,04
0401190010,05
0401190010,09
0401190010,10
0401190010,12
0401190010,13
0401190010,14
0401190010,40
0401190010,81
0412040012,01
0412040012,02
0412040012,03
0412040012,04
0412040012,05
0412040012,06
0412040012,07
0412040012,08
0412040012,09
0412040012,10
0412040012,11
0412040012,12
0412040012,13
0412040012,14
0412040012,15
0412040012,22
0412040012,40
0412040012,45
0412040012,46
0412040012,81
0412040012,82
0412040012,83
0412040012,84
0412040012,85
0421040011,00
0421040011,01
0421040011,02
0421040011,03
0421040011,04
0421040011,05
0421040011,06
0421040011,07
0421040011,08
0421040011,09
0421040011,10
0421040011,11
0421040011,12
0421040011,13
0421040011,14
0421040011,15
0421040011,16
0421040011,22
0421040011,40
0421040011,41
0421040011,42
0421040011,43
0421040011,44
0421040011,45
0421040011,46
0421040011,47
0421040011,49
0421040011,51
0421040011,81
0421040011,82
